LFC,VE,VE_norm,LFC_norm
9.7291,0.15291969981919348,0.678139580575473,0.9476288464535783
9.7903,0.14207052672393525,0.6299265147902497,0.9536659807482496
3.5281,0.11538339078536586,0.511330504815278,0.3359250921846732
8.1527,0.13023964876163618,0.5773508122472998,0.7921233153731876
5.7819,0.11538339078536586,0.511330504815278,0.5582534136443181
7.8015,0.11662586063374676,0.5168519652998863,0.7574788453684723
5.4807,0.07598378781323409,0.3362410640506818,0.5285412428999552
8.6946,0.08217714481703886,0.36376396612202216,0.8455795747568869
8.004,0.15608844156667437,0.6922212762942418,0.7774546573728995
6.3997,0.06837520749050985,0.3024289955722106,0.6191969033052324
9.7906,0.15608844156667437,0.6922212762942418,0.9536955745438116
6.3997,0.06837520749050985,0.3024289955722106,0.6191969033052324
2.0768,0.045568703202385055,0.20107827677365828,0.19276017385368432
8.6471,0.10250143502180813,0.45408387641166303,0.8408938904595522
6.9141,0.03399554839607709,0.14964788027063175,0.6699403980957379
5.9591,0.018328685156782012,0.08002529232110743,0.575733482223007
1.4182,0.07003018479886208,0.30978361413530753,0.12779192799632247
7.3428,0.11510361745981014,0.5100872091620946,0.7122299319539994
1.9858,0.018873485173948094,0.08244635048257222,0.18378338919984297
5.7917,0.0038606141929227967,0.01573006437689704,0.5592201442993471
8.7969,0.1199527983471718,0.5316366742756153,0.8556710590435681
2.9905,0.037717775092730575,0.1661892294608022,0.28289301053736415
6.9107,0.10445165883727887,0.46275055250629515,0.669605001746034
6.9107,0.06014117634335621,0.26583746164703026,0.669605001746034
7.1234,0.12485248754489922,0.5534105952503324,0.6905870027995731
7.1234,0.12485248754489922,0.5534105952503324,0.6905870027995731
8.1527,0.13023964876163618,0.5773508122472998,0.7921233153731876
8.9146,0.12225945933664027,0.5418873355060143,0.8672816915024376
7.3428,0.11510361745981014,0.5100872091620946,0.7122299319539994
7.3428,0.11510361745981014,0.5100872091620946,0.7122299319539994
7.3428,0.11510361745981014,0.5100872091620946,0.7122299319539994
7.7444,0.128494229529877,0.5695942752739539,0.7518461596131499
3.8347,0.06952321171696718,0.3075306565749365,0.3661699512491542
6.513,0.025376389988632567,0.11134486421007994,0.6303734934291909
9.7903,0.1751850163978003,0.7770852940881802,0.9536659807482496
2.9905,0.037717775092730575,0.1661892294608022,0.28289301053736415
6.3997,0.15608844156667437,0.6922212762942418,0.6191969033052324
6.3997,-0.00235102265215407,0.00902153132789357,0.6191969033052324
7.3428,0.11510361745981014,0.5100872091620946,0.7122299319539994
8.1527,0.13023964876163618,0.5773508122472998,0.7921233153731876
0.52627,0.01756893725930565,0.07664901884481619,0.03980661441060011
5.6765,0.05670426015708357,0.2505640150228369,0.5478561268034952
4.4662,0.01756893725930565,0.07664901884481619,0.4284648909074049
2.0304,0.004237115559017853,0.017403213562773804,0.18818300014007733
4.8057,0.1212932913814082,0.5375937438399787,0.46195520288519776
1.9858,0.018873485173948094,0.08244635048257222,0.18378338919984297
6.4816,0.06088791356247228,0.2691559164595222,0.6272760094936897
8.0306,0.11680963611301033,0.5176686523592271,0.780078640579407
-0.60231,-0.0303093700670493,0.13326672783504598,0.04730765512574404
4.9642,0.01295580781855692,0.056148552012023456,0.47759059154051486
5.7917,0.14236249455136815,0.6312240020685514,0.5592201442993471
5.7917,0.0038606141929227967,0.01573006437689704,0.5592201442993471
0.12274,0.006647891379197968,0.028116554772397377,0.0
9.4708,0.1333277717767996,0.591074243219934,0.9221485884745978
0.31707,0.015559583772909568,0.06771957408669695,0.01916987430528565
7.2055,0.08975700919306263,0.39744842267881064,0.6986858381850717
1.8912,0.07781373352430455,0.3443732315602765,0.1744514789992562
5.4556,0.07862710777126915,0.3479878172740992,0.5260652286712583
6.2154,0.024890008947650713,0.1091834164278713,0.6010164482315734
8.1527,0.13023964876163618,0.5773508122472998,0.7921233153731876
3.0967,-0.007245415507061858,0.03077191567705019,0.29336921416635264
8.1527,0.13023964876163618,0.5773508122472998,0.7921233153731876
8.1527,0.13023964876163618,0.5773508122472998,0.7921233153731876
3.0967,-0.007245415507061858,0.03077191567705019,0.29336921416635264
8.1527,0.13023964876163618,0.5773508122472998,0.7921233153731876
2.489,0.034503877536742375,0.15190686407375248,0.23342204895602955
7.316,0.05074599655392731,0.22408585373419201,0.7095862195504505
5.3322,0.023042999837125752,0.10097542020827305,0.5138923140967085
8.887,0.13960164530566294,0.6189549558345628,0.8645590623107231
5.0036,0.01265450761252742,0.05480959221049253,0.48147724335767256
6.8003,0.11538339078536586,0.511330504815278,0.6587144849791758
2.3475,0.08078904498717197,0.35759533485158185,0.21946364204923227
8.0045,0.05051571071179422,0.22306247744931912,0.7775039803655032
6.6536,0.0284198096283229,0.12486963609933681,0.6442431189493019
1.9281,0.017382557305598182,0.07582075765935567,0.17809151585339628
6.9111,0.10240767768003158,0.45366722448370217,0.6696444601401168
6.9111,0.10240767768003158,0.45366722448370217,0.6696444601401168
1.9281,0.017382557305598182,0.07582075765935567,0.17809151585339628
3.562,0.030412961308607708,0.1337270810158991,0.33926919108319215
5.1609,0.030721948842484356,0.1351002028351205,0.4969942568307412
5.1609,0.030721948842484356,0.1351002028351205,0.4969942568307412
0.64422,0.07511192858430893,0.33236657463194497,0.05144190836577143
5.1609,0.030721948842484356,0.1351002028351205,0.4969942568307412
6.0342,0.07229506518237004,0.31984860489238714,0.5831417957120564
2.4936,0.07511192858430893,0.33236657463194497,0.23387582048798197
2.4936,0.07511192858430893,0.33236657463194497,0.23387582048798197
4.666,0.031762802912223435,0.139725695054346,0.4481743587517732
6.8003,0.11538339078536586,0.511330504815278,0.6587144849791758
6.8003,0.11538339078536586,0.511330504815278,0.6587144849791758
8.1527,0.13023964876163618,0.5773508122472998,0.7921233153731876
4.798,0.13023964876163618,0.5773508122472998,0.46119562879910353
2.3707,0.04408616523398093,0.1944899681558338,0.22175222890603577
2.4936,0.07511192858430893,0.33236657463194497,0.23387582048798197
6.6475,0.054675428024347744,0.24154800834436302,0.6436413784395388
6.2124,-0.04812709633284485,0.21244762033747627,0.6007205102759523
5.1609,0.012158162069081201,0.05260386278500904,0.4969942568307412
2.1346,0.06100454840097781,0.2696742345923736,0.19846191179865172
0.93574,0.030646937121360084,0.13476685530591498,0.08019918597333008
2.1346,0.06100454840097781,0.2696742345923736,0.19846191179865172
5.7819,0.13023964876163618,0.5773508122472998,0.5582534136443181
3.6894,0.07511192858430893,0.33236657463194497,0.35183668959857006
2.4936,0.07511192858430893,0.33236657463194497,0.23387582048798197
6.1213,0.061886084367535656,0.2735917268449647,0.5917338610235902
3.6894,0.05134928552432586,0.22676683324866187,0.35183668959857006
6.6475,0.024898165404674693,0.10921966322710833,0.6436413784395388
2.4936,0.07511192858430893,0.33236657463194497,0.23387582048798197
2.4936,0.07511192858430893,0.33236657463194497,0.23387582048798197
2.4936,0.07511192858430893,0.33236657463194497,0.23387582048798197
2.4576,0.11197932704246588,0.49620305245254803,0.23032456502052823
5.4203,-0.04812709633284485,0.21244762033747627,0.5225830253934495
6.2124,-0.04812709633284485,0.21244762033747627,0.6007205102759523
4.666,0.03247130239677957,0.14287422369867478,0.4481743587517732
4.666,0.03247130239677957,0.14287422369867478,0.4481743587517732
6.8003,0.11538339078536586,0.511330504815278,0.6587144849791758
6.8003,0.11538339078536586,0.511330504815278,0.6587144849791758
2.0623,0.012063174825199712,0.05218174524685151,0.19132980706818215
2.4936,0.07511192858430893,0.33236657463194497,0.23387582048798197
8.6531,0.2136715040861719,0.9481169060340378,0.8414857663707945
9.381,0.14236249455136815,0.6312240020685514,0.9132901790030048
3.6894,0.07511192858430893,0.33236657463194497,0.35183668959857006
6.2124,0.01591188582063018,0.06928518297263558,0.6007205102759523
6.9107,0.11510361745981014,0.5100872091620946,0.669605001746034
6.9107,0.10445165883727887,0.46275055250629515,0.669605001746034
6.9107,0.10445165883727887,0.46275055250629515,0.669605001746034
6.9107,0.10445165883727887,0.46275055250629515,0.669605001746034
6.9107,0.10445165883727887,0.46275055250629515,0.669605001746034
6.9107,0.10445165883727887,0.46275055250629515,0.669605001746034
6.9107,0.10445165883727887,0.46275055250629515,0.669605001746034
6.9107,0.10445165883727887,0.46275055250629515,0.669605001746034
6.9107,0.14236249455136815,0.6312240020685514,0.669605001746034
5.1018,0.10445165883727887,0.46275055250629515,0.4911642791050047
6.9107,0.10445165883727887,0.46275055250629515,0.669605001746034
6.9107,0.10445165883727887,0.46275055250629515,0.669605001746034
6.9107,0.10445165883727887,0.46275055250629515,0.669605001746034
2.6845,0.05940077487008211,0.26254716250395155,0.25270733906400744
7.3765,0.10911809893417876,0.4834879286546183,0.715554301655477
7.3765,0.10911809893417876,0.4834879286546183,0.715554301655477
1.5401,0.002313026293969159,0.008852677821669331,0.13981687359306164
2.4176,0.03724252961923896,0.16407726746366205,0.22637872561224634
2.4176,0.03724252961923896,0.16407726746366205,0.22637872561224634
7.3765,0.10911809893417876,0.4834879286546183,0.715554301655477
3.0772,0.04146864998891705,0.18285788950836102,0.29144561745481523
0.5712,0.00738472610679886,0.031391003514503406,0.044238778525952774
