id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ZNF263	1060	0.090554	0.85511	1.0	209	314	0.37198	7.1212e-06	0.00022308	0.00807	16	467	0.37198
OLIG2	1511	0.092447	0.86049	1.0	210	436	0.29718	0.038661	0.26017	0.765565	178	629	0.29718
BHLHE22	1511	0.092447	0.86049	1.0	211	436	0.29718	0.038661	0.26017	0.765565	177	629	0.29718
VAX1	159	0.094361	0.86183	1.0	212	54	0.14568	0.44026	0.86796	1.0	463	54	0.14568
ISL1	148	0.095037	0.8623	1.0	213	44	0.40629	0.24127	0.70257	1.0	376	62	0.40629
ETV2::FOXI1	28	0.095506	0.62441	1.0	214	10	0.30739	0.22598	0.57723	0.944141	372	12	0.30739
GATA4	78	0.095863	0.82304	1.0	215	19	0.4036	0.33189	0.77919	1.0	413	34	0.4036
FOXJ3	43	0.097241	0.70739	1.0	216	13	-0.039115	0.67469	0.94587	1.0	532	15	-0.039115
GRHL2	28	0.097459	0.62887	1.0	217	8	0.21137	0.10827	0.36935	0.860577	273	11	0.21137
TFAP2A	146	0.097672	0.86444	1.0	218	51	0.22488	0.38401	0.82769	1.0	434	58	0.22488
MSANTD3	395	0.097849	0.8651	1.0	219	121	0.26061	0.02045	0.18942	0.703447	134	167	0.26061
GLI2	24	0.10194	0.60024	1.0	220	10	0.036025	0.21488	0.55089	0.9083	366	11	0.036025
CREB3L2	20	0.10436	0.576	1.0	221	6	0.6156	0.086125	0.28863	0.772636	235	10	0.6156
KLF1	936	0.10468	0.87738	1.0	222	243	0.61427	2.4218e-08	4.9574e-06	0.000436	5	449	0.61427
MYOG	291	0.10645	0.87936	1.0	223	76	0.31784	0.048679	0.28941	0.772636	191	115	0.31784
MYB	809	0.10817	0.88085	1.0	224	232	0.34396	0.13837	0.51078	0.887376	318	336	0.34396
ZNF257	27	0.10848	0.63949	1.0	225	10	0.3838	0.21327	0.55903	0.919256	365	13	0.3838
ZNF770	42	0.10925	0.73617	1.0	226	15	0.40735	0.008023	0.079343	0.428033	86	19	0.40735
FOSL1::JUNB	34	0.11023	0.70492	1.0	227	9	-0.014348	0.51999	0.86306	1.0	488	10	-0.014348
FOS::JUND	34	0.11023	0.70492	1.0	228	9	-0.014348	0.51999	0.86306	1.0	487	10	-0.014348
THAP1	232	0.11035	0.8841	1.0	229	71	0.54279	0.0022171	0.020975	0.195445	60	111	0.54279
MECOM	5	0.11084	0.35765	1.0	230	2	1.0314	0.41516	0.59251	0.956413	455	2	1.0314
ZBTB26	115	0.11203	0.88657	1.0	231	26	0.89095	0.002517	0.024822	0.227839	61	61	0.89095
DPRX	17	0.11247	0.55818	1.0	232	5	0.4811	0.29022	0.60959	0.966236	396	8	0.4811
MYOD1	34	0.11247	0.70987	1.0	233	10	0.47705	0.054371	0.22893	0.721013	200	17	0.47705
SATB1	104	0.11302	0.8884	1.0	234	29	0.46813	0.12874	0.48622	0.881816	288	42	0.46813
E2F6	110	0.11442	0.88949	1.0	235	39	0.29905	0.19889	0.64403	0.98313	351	47	0.29905
NR2E3	326	0.11481	0.8895	1.0	236	96	0.26175	0.08292	0.37715	0.860577	231	123	0.26175
